field,question,model_answer,keywords,difficulty,student_answer,score,label
DBMS,briefly explain what is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Easy,"I think, of redundant to a normalized to improve read denormalization",48.0,Average
DBMS,"in your own words, what is normalization?",Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Hard,Normalization refers to the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,92.0,Excellent
Data Structures,Give a short note on: what is a binary search tree,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Easy,A binary tree refers to a tree where the left subtree contains nodes than the parent and the right subtree contains nodes greater.,81.0,Good
Operating Systems,"In your own words, what is a scheduler in OS?",A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Medium,"as far as I know, A scheduler refers to the component the operating system decides which process runs the CPU at a given",72.0,Good
Python,Explain: What are decorators in Python?,"A decorator is a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.","decorator, function, wraps, modify",Medium,My favorite color is blue.,19.0,Poor
Operating Systems,GIVE A SHORT NOTE ON: WHAT IS THE DIFFERENCE BETWEEN A PROCESS AND A THREAD,A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Hard,a process is program with own memory while a is a unit of execution within a process shares memory with,61.0,Average
Operating Systems,Briefly explain what is context switching?,Context switching is the process of storing the state of a running process and loading the state of another so the CPU can switch between processes.,"context, switching, state, cpu",Easy,"I DON'T KNOW, SKIP THIS QUESTION.",10.0,Poor
OOP,Explain: What is a constructor?,A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Hard,is a special method called when an is created that attributes. constructor,62.0,Average
Operating Systems,Briefly explain what is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Easy,"well, A system call is the mechanism used by a program to request a service from the operating system's kernel.",96.0,Excellent
OOP,EXPLAIN: WHAT IS ABSTRACTION IN OOP?,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Medium,"as far as I know, Abstraction hiding complex implementation details and showing only the necessary of an the user.",72.0,Good
Computer Networks,Explain: What is the OSI model?,The OSI model is a conceptual framework with seven layers that standardizes the functions of a communication system.,"osi, layers, seven, communication",Hard,The OSI model is a conceptual framework with seven layers which standardizes the functions of a communication system.,100.0,Excellent
Data Structures,Give a short note on: what is a stack,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Medium,"basically speaking, A stack refers to a linear structure that the Last In First Out principle where insertion and deletion end.",75.0,Good
OOP,What is abstraction in OOP?,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Easy,Abstraction means implementation details and showing only the necessary features of an object to the,75.0,Good
Computer Networks,Briefly explain what is the OSI model?,The OSI model is a conceptual framework with seven layers that standardizes the functions of a communication system.,"osi, layers, seven, communication",Medium,The OSI model refers to a conceptual framework with seven layers that standardizes the functions of a communication system.,96.0,Excellent
Data Structures,"IN YOUR OWN WORDS, WHAT IS A BINARY SEARCH TREE?",A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Medium,"not very sure, but it sounds like a technical term.",26.0,Poor
Data Structures,Give a short note on: what is a graph in data structures,A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Medium,graph is data structure consisting vertices connected by,69.0,Good
Data Structures,Give a short note on: what is dynamic programming,Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Medium,dynamic an optimization technique which solves complex problems by breaking them into overlapping and storing results to avoid recomputation.,81.0,Good
OOP,Explain: What is a constructor?,A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Hard,"as far as I know, A is a special method automatically called an object is created that initializes object's attributes.",89.0,Excellent
OOP,Explain: What is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Hard,"I think, allows of to treated as of superclass, the method behave differently. polymorphism",68.0,Good
OOP,BRIEFLY EXPLAIN WHAT IS OBJECT COMPOSITION?,Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Easy,"to put it simply, This is related to computers and programming somehow.",30.0,Poor
OOP,"In your own words, what is a class in OOP?",A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Medium,"Not very sure, but it sounds like a technical term. It might relate to attributes.",38.0,Poor
Data Structures,Briefly explain what is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Hard,"um basically, binary is a the nodes smaller than the parent and the nodes greater.",48.0,Average
Data Structures,Briefly explain what is a stack?,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Easy,"basically speaking, stack is a that follows the Last In First where and",69.0,Good
OOP,"In your own words, what is method overloading?",Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Medium,overloading the same to have the same name different,63.0,Average
Operating Systems,Give a short note on: what is virtual memory,Virtual memory is a memory management technique that gives an application the impression of a large contiguous memory space using disk storage as an extension of RAM.,"virtual, memory, disk, ram",Medium,I don't remember this concept clearly.,39.0,Poor
Data Structures,EXPLAIN: WHAT IS A QUEUE?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Hard,A queue refers to a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,93.0,Excellent
Data Structures,what is a stack?,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Easy,THIS IS USED IN SOFTWARE DEVELOPMENT IN GENERAL. IT MIGHT RELATE TO INSERTION.,21.0,Poor
OOP,Give a short note on: what is polymorphism,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Hard,"um basically, Polymorphism allows objects of different classes to be as objects of a common the same method behave differently.",87.0,Excellent
Data Structures,"in your own words, what is a hash table?","A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Medium,It has something to do with data I think.,100.0,Excellent
Python,Briefly explain what is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Easy,"A generator is which returns an iterator using the yield keyword, producing lazily one at time.",86.0,Excellent
Computer Networks,what is an ip address?,An IP address is a unique numerical identifier assigned to every device connected to a network that uses the Internet Protocol for communication.,"ip, address, unique, network",Easy,"as far as I know, An IP address refers to a numerical identifier assigned to every to a network that the Internet Protocol for communication.",81.0,Good
DBMS,Briefly explain what is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Easy,refers to the process of adding redundant data to a normalized database to improve,79.0,Good
Python,EXPLAIN: WHAT IS THE DIFFERENCE BETWEEN DEEP COPY AND SHALLOW COPY?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Easy,This is related to computers and programming somehow. It might relate to reference.,42.0,Average
Computer Networks,What is a subnet mask?,A subnet mask is used to divide an IP address into network and host portions to determine which part identifies the network.,"subnet, mask, network, host",Easy,"WELL, A SUBNET MASK IS UTILIZED TO DIVIDE AN IP ADDRESS INTO NETWORK AND HOST PORTIONS TO DETERMINE WHICH PART IDENTIFIES THE NETWORK.",92.0,Excellent
Operating Systems,Briefly explain what is thrashing?,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Medium,Thrashing when system spends most of its time swapping pages in and out of memory instead of executing processes.,76.0,Good
Python,Give a short note on: what is a lambda function,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Medium,A lambda function is small anonymous function defined lambda which can take any of but has only one expression.,75.0,Good
Computer Networks,Briefly explain what is DNS?,"DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Hard,I did not study this topic properly. It might relate to ip.,36.0,Poor
Python,explain: what is a list in python?,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,my favorite color is blue.,7.0,Poor
Operating Systems,Briefly explain what is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Hard,a where or more processes unable to proceed waiting for a resource by another. deadlock,59.0,Average
Operating Systems,Give a short note on: what is context switching,Context switching is the process of storing the state of a running process and loading the state of another so the CPU can switch between processes.,"context, switching, state, cpu",Medium,"well, Context switching is the process of storing the state of a running process and loading the state of another so the can switch between processes.",76.0,Good
DBMS,Briefly explain what is a transaction in DBMS?,A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Easy,transaction is of one more operations single logical of work either fails.,46.0,Average
Computer Networks,What is a firewall?,A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on defined rules.,"firewall, security, filter, traffic",Hard,"well, I did not study this topic properly. It might relate to traffic.",37.0,Poor
Operating Systems,Briefly explain what is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Hard,"in simple words, Deadlock is a situation where two processes are to because each is a resource deadlock",64.0,Average
Python,explain: what is a list in python?,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,"to put it simply, is a mutable, items different types.",47.0,Average
Data Structures,What is a stack?,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Easy,is data that follows Last First Out deletion happen end. stack,60.0,Average
Computer Networks,Explain: What is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Easy,"well, is the maximum of data across a measured in bits bandwidth",53.0,Average
Data Structures,Give a short note on: what is a binary search tree,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Easy,a binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,94.0,Excellent
Python,GIVE A SHORT NOTE ON: WHAT IS A LIST IN PYTHON,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,It has something to do with data I think. It might relate to list.,23.0,Poor
Operating Systems,"in your own words, what is a semaphore?",A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Medium,my favorite color is blue.,16.0,Poor
OOP,briefly explain what is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Medium,"in simple words, objects of different be objects of a common letting the same method behave polymorphism",47.0,Average
Python,"In your own words, what are decorators in Python?","A decorator is a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.","decorator, function, wraps, modify",Hard,it has something to do with data i think.,30.0,Poor
Computer Networks,what is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Easy,I DON'T REMEMBER THIS CONCEPT CLEARLY.,41.0,Average
DBMS,Briefly explain what is a view in SQL?,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Hard,"UM BASICALLY, VIEW IS A TABLE BASED THE RESULT OF A SQL QUERY DOES NOT STORE DATA PHYSICALLY ITSELF.",81.0,Good
DBMS,"In your own words, what is the difference between DELETE and TRUNCATE?","DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Easy,"well, delete removes rows one at a time and can be rolled back, while truncate removes all rows at once and cannot usually be rolled back.",93.0,Excellent
Operating Systems,"In your own words, what is a process in an operating system?","A process is a program in execution that has its own memory space, program counter and set of resources managed by the OS.","process, execution, memory, program",Hard,"honestly, A process refers to a program in execution that has its own memory space, program counter and set of resources managed by the OS.",99.0,Excellent
OOP,What is object composition?,Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Easy,Object composition refers to a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,100.0,Excellent
Data Structures,Explain: What is recursion?,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Hard,I like pizza and football on weekends.,0.0,Poor
Data Structures,Give a short note on: what is a queue,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Hard,"as far as I know, is data that follows Out where insertion at and deletion at front. queue",60.0,Average
Python,Explain: What is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Medium,"well, A is a that using yield producing values a generator",57.0,Average
Computer Networks,"IN YOUR OWN WORDS, WHAT IS A MAC ADDRESS?",A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Hard,"WELL, A MAC ADDRESS IS A UNIQUE HARDWARE IDENTIFIER ASSIGNED TO A NETWORK INTERFACE CONTROLLER FOR USE AT THE DATA LINK LAYER.",92.0,Excellent
Operating Systems,Explain: What is thrashing?,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Hard,Thrashing occurs when a system spends most of pages of memory of executing actual thrashing,61.0,Average
OOP,Briefly explain what is abstraction in OOP?,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Easy,Abstraction means details and only the an object the user. abstraction,51.0,Average
Python,Explain: What is a list in Python?,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,"REFERS TO A MUTABLE, ORDERED COLLECTION OF ITEMS CAN HOLD ELEMENTS OF DIFFERENT DATA TYPES.",72.0,Good
Data Structures,"IN YOUR OWN WORDS, WHAT IS A QUEUE?",A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Easy,asdkj random text here nothing useful,17.0,Poor
Computer Networks,Explain: What is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Medium,A router is a networking device which forwards data packets between different computer networks based on their destination address.,99.0,Excellent
Computer Networks,Give a short note on: what is a router,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Medium,is a networking forwards data different computer destination address. router,50.0,Average
Operating Systems,Explain: What is thrashing?,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Hard,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,92.0,Excellent
Data Structures,"In your own words, what is a graph in data structures?",A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Hard,is non-linear data of called connected graph,62.0,Average
Computer Networks,GIVE A SHORT NOTE ON: WHAT IS AN IP ADDRESS,An IP address is a unique numerical identifier assigned to every device connected to a network that uses the Internet Protocol for communication.,"ip, address, unique, network",Medium,An a unique to every device connected to a network uses the Internet communication. ip,52.0,Average
Operating Systems,Explain: What is paging?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Hard,"not very sure, but it sounds like a technical term.",28.0,Poor
Computer Networks,Briefly explain what is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Easy,A router refers to a networking device that forwards data packets between different computer networks based on their destination address.,94.0,Excellent
DBMS,Briefly explain what is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Easy,THE PROCESS OF REDUNDANT DATA TO A NORMALIZED DATABASE TO IMPROVE READ,72.0,Good
Python,WHAT IS A GENERATOR IN PYTHON?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Easy,asdkj random text here nothing useful,18.0,Poor
Computer Networks,Explain: What is a MAC address?,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Medium,A MAC address refers to a unique identifier assigned to a network interface for use at data link layer.,79.0,Good
Operating Systems,briefly explain what is a scheduler in os?,A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Hard,"basically speaking, A scheduler refers to the component of the operating system that decides which process runs on the CPU at a given time.",92.0,Excellent
DBMS,briefly explain what is a primary key?,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Medium,A primary key is a or of columns uniquely identifies each in a table cannot contain null,76.0,Good
Python,Explain: What is the Global Interpreter Lock (GIL)?,"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.","gil, mutex, thread, bytecode",Hard,"The GIL is a mutex that lets only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.",97.0,Excellent
Data Structures,Briefly explain what is a graph in data structures?,A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Easy,A graph is a non-linear data structure consisting of nodes called connected by,73.0,Good
Computer Networks,what is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Hard,Bandwidth is the maximum rate transfer a network path measured typically in per second.,88.0,Excellent
Data Structures,What is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Hard,"um basically, It has something to do with data I think.",21.0,Poor
Data Structures,Briefly explain what is a linked list?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Medium,A LINKED LIST IS A LINEAR DATA STRUCTURE WHERE EACH ELEMENT POINTS TO THE NEXT ELEMENT USING POINTERS INSTEAD OF CONTIGUOUS MEMORY.,93.0,Excellent
Operating Systems,"In your own words, what is a process in an operating system?","A process is a program in execution that has its own memory space, program counter and set of resources managed by the OS.","process, execution, memory, program",Hard,This is related to computers and programming somehow. It might relate to program.,26.0,Poor
Data Structures,Briefly explain what is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Hard,A binary search tree refers to a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,96.0,Excellent
DBMS,EXPLAIN: WHAT IS A VIEW IN SQL?,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Easy,"WELL, THIS IS USED IN SOFTWARE DEVELOPMENT IN GENERAL. IT MIGHT RELATE TO QUERY.",32.0,Poor
Operating Systems,Give a short note on: what is a scheduler in OS,A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Easy,This is used in software development in general.,41.0,Average
Computer Networks,"IN YOUR OWN WORDS, WHAT IS AN IP ADDRESS?",An IP address is a unique numerical identifier assigned to every device connected to a network that uses the Internet Protocol for communication.,"ip, address, unique, network",Hard,"basically speaking, I did not study this topic properly.",28.0,Poor
Computer Networks,Explain: What is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Medium,"I think, is device that forwards packets between networks based address. router",51.0,Average
Data Structures,What is the difference between BFS and DFS?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Hard,The weather has been nice lately.,9.0,Poor
Python,"In your own words, what is a lambda function?",A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Hard,A lambda function a anonymous function defined lambda keyword of,51.0,Average
Python,"In your own words, what is the difference between deep copy and shallow copy?","A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Medium,"a shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.",91.0,Excellent
Operating Systems,briefly explain what is a scheduler in os?,A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Hard,"if I remember correctly, I don't remember this concept clearly.",43.0,Average
Computer Networks,What is a subnet mask?,A subnet mask is used to divide an IP address into network and host portions to determine which part identifies the network.,"subnet, mask, network, host",Easy,a subnet mask is used to divide an ip address into network and host portions to determine which part identifies the network.,99.0,Excellent
Computer Networks,"In your own words, what is a router?",A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Hard,"basically speaking, A router is a that packets between different based on their",66.0,Good
OOP,What is object composition?,Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Easy,I LIKE PIZZA AND FOOTBALL ON WEEKENDS.,3.0,Poor
Computer Networks,give a short note on: what is the difference between tcp and udp,"TCP is a connection-oriented, reliable protocol that guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.","tcp, udp, connection, reliable",Hard,"TCP is a connection-oriented, reliable which guarantees delivery, UDP is a connectionless that is faster not guarantee delivery.",75.0,Good
DBMS,Give a short note on: what is ACID property in DBMS,"ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Hard,"IN SIMPLE WORDS, I DID NOT STUDY THIS TOPIC PROPERLY. IT MIGHT RELATE TO DURABILITY.",29.0,Poor
DBMS,What is a view in SQL?,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Hard,"well, A view is a virtual table based on of a SQL query that not store data physically itself.",77.0,Good
OOP,What is an interface in OOP?,An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Medium,An interface refers to a contract that defines a set of methods a class must implement without providing the implementation itself.,91.0,Excellent
Data Structures,Briefly explain what is a graph in data structures?,A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Easy,"honestly, a data structure of by edges. graph",47.0,Average
Computer Networks,briefly explain what is http?,"HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Medium,ASDKJ RANDOM TEXT HERE NOTHING USEFUL,14.0,Poor
Data Structures,briefly explain what is a stack?,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Easy,refers to a linear data structure that the Last In First Out principle where insertion deletion happen at one end.,89.0,Excellent
DBMS,GIVE A SHORT NOTE ON: WHAT IS ACID PROPERTY IN DBMS,"ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Hard,The weather has been nice lately.,16.0,Poor
DBMS,What is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Easy,A is used combine rows from two or tables based on a between them.,82.0,Good
Data Structures,Explain: What is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Easy,"in simple words, A binary tree a node-based tree where the subtree contains nodes smaller than the parent the right subtree contains nodes",52.0,Average
Python,EXPLAIN: WHAT IS THE DIFFERENCE BETWEEN DEEP COPY AND SHALLOW COPY?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Easy,"A shallow copy creates a new object but inserts to the nested objects, while a deep copy creates a new object recursively copies all nested",81.0,Good
OOP,Briefly explain what is an interface in OOP?,An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Medium,An interface refers to a contract that defines a set of methods a class must implement without providing the implementation itself.,91.0,Excellent
Computer Networks,"In your own words, what is HTTP?","HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Easy,"or HyperText Protocol, is the application layer used for transmitting pages over the internet.",88.0,Excellent
DBMS,"IN YOUR OWN WORDS, WHAT IS A VIEW IN SQL?",A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Medium,a virtual table based result of a SQL that does not store physically view,62.0,Average
DBMS,Explain: What is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,A join utilized to combine rows from two or more tables a related column them.,72.0,Good
Data Structures,Briefly explain what is the time complexity of binary search?,Binary search has a time complexity of O(log n) because it repeatedly divides the search interval in half.,"binary, search, logn, complexity",Easy,"basically speaking, search has a time complexity of O(log n) it repeatedly divides the search interval in",75.0,Good
Computer Networks,"In your own words, what is bandwidth?",Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Medium,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,91.0,Excellent
Data Structures,Briefly explain what is recursion?,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Medium,RECURSION IS A TECHNIQUE WHERE A FUNCTION CALLS ITSELF TO SOLVE SMALLER INSTANCES OF THE SAME PROBLEM UNTIL A BASE CASE IS REACHED.,97.0,Excellent
Computer Networks,What is a subnet mask?,A subnet mask is used to divide an IP address into network and host portions to determine which part identifies the network.,"subnet, mask, network, host",Easy,my favorite color is blue.,5.0,Poor
DBMS,"In your own words, what is a view in SQL?",A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Medium,"so like, I did not study this topic properly.",23.0,Poor
Operating Systems,What is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Hard,refers to a situation where two or more processes are to proceed because each is for a resource held by another.,70.0,Good
OOP,explain: what is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Hard,"honestly, Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.",97.0,Excellent
Operating Systems,Give a short note on: what is thrashing,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Hard,"HONESTLY, THRASHING OCCURS WHEN A SYSTEM SPENDS MOST OF ITS TIME SWAPPING PAGES IN AND OUT OF MEMORY INSTEAD OF EXECUTING ACTUAL PROCESSES.",95.0,Excellent
Data Structures,Give a short note on: what is a stack,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Medium,A a data structure that the Last First principle insertion deletion end. stack,58.0,Average
OOP,Give a short note on: what is a constructor,A constructor is a special method automatically called when an object is created that initializes the object's attributes.,"constructor, method, object, initialize",Hard,a constructor is a special method called is the attributes.,59.0,Average
DBMS,Briefly explain what is a view in SQL?,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Hard,"in simple words, A view is a virtual table based on the result of a SQL query that does not store data physically itself.",97.0,Excellent
Python,Briefly explain what is list comprehension?,List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Medium,List comprehension refers to a concise way to create lists using a single line of code with a for loop and optional condition.,91.0,Excellent
Data Structures,Give a short note on: what is recursion,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Hard,"in simple words, Recursion is technique where calls itself smaller the same problem base case is recursion",50.0,Average
